experiment,member,policy,lr,gamma,batch_size,epsilon_start,epsilon_end,epsilon_fraction,mean_reward,std_reward
1,Josue_Byiringiro,MlpPolicy,0.0001,0.99,32,1.0,0.1,0.1,0.0,0.0
2,Josue_Byiringiro,MlpPolicy,0.0005,0.99,32,1.0,0.1,0.1,18.33333396911621,1.247219204902649
3,Josue_Byiringiro,MlpPolicy,0.001,0.99,32,1.0,0.1,0.1,14.0,1.4142135381698608
4,Josue_Byiringiro,MlpPolicy,0.0001,0.9,32,1.0,0.1,0.1,0.0,0.0
5,Josue_Byiringiro,MlpPolicy,0.0001,0.999,32,1.0,0.1,0.1,0.0,0.0
6,Josue_Byiringiro,MlpPolicy,0.0001,0.99,128,1.0,0.1,0.1,0.0,0.0
7,Josue_Byiringiro,MlpPolicy,0.0001,0.99,32,1.0,0.01,0.1,0.0,0.0
8,Josue_Byiringiro,MlpPolicy,0.0001,0.99,32,1.0,0.1,0.3,0.0,0.0
9,Josue_Byiringiro,MlpPolicy,0.00025,0.99,64,1.0,0.05,0.2,0.0,0.0
10,Josue_Byiringiro,MlpPolicy,5e-05,0.995,64,1.0,0.05,0.15,0.0,0.0
