experiment,member,policy,lr,gamma,batch_size,epsilon_start,epsilon_end,epsilon_fraction,mean_reward,std_reward
1,Josue_Byiringiro_v2,MlpPolicy,0.0003,0.99,32,1.0,0.1,0.1,0.0,0.0
2,Josue_Byiringiro_v2,MlpPolicy,0.0005,0.99,32,1.0,0.1,0.1,23.33333396911621,2.054804801940918
3,Josue_Byiringiro_v2,MlpPolicy,0.001,0.99,32,1.0,0.1,0.1,0.0,0.0
4,Josue_Byiringiro_v2,MlpPolicy,0.0007,0.99,32,1.0,0.1,0.1,23.33333396911621,0.471404492855072
5,Josue_Byiringiro_v2,MlpPolicy,0.0005,0.99,64,1.0,0.1,0.1,0.0,0.0
6,Josue_Byiringiro_v2,MlpPolicy,0.0005,0.99,128,1.0,0.1,0.1,0.0,0.0
7,Josue_Byiringiro_v2,MlpPolicy,0.0005,0.995,32,1.0,0.1,0.1,0.0,0.0
8,Josue_Byiringiro_v2,MlpPolicy,0.0005,0.99,32,1.0,0.05,0.1,0.0,0.0
9,Josue_Byiringiro_v2,MlpPolicy,0.0005,0.99,32,1.0,0.1,0.2,0.0,0.0
10,Josue_Byiringiro_v2,MlpPolicy,0.0003,0.99,64,1.0,0.05,0.15,0.0,0.0
