timesteps,reward,episode_length
8192,0.0,2048
8192,0.0,2048
8192,0.0,2048
8192,0.0,2048
16384,0.0,2048
16384,0.0,2048
16384,0.0,2048
16384,0.0,2048
24576,0.0,2048
24576,0.0,2048
24576,0.0,2048
24576,0.0,2048
32768,0.0,2048
32768,0.0,2048
32768,0.0,2048
32768,0.0,2048
40960,0.0,2048
40960,0.0,2048
40960,0.0,2048
40960,0.0,2048
49152,0.0,2048
49152,0.0,2048
49152,0.0,2048
49152,0.0,2048
57344,0.0,2048
57344,0.0,2048
57344,0.0,2048
57344,0.0,2048
65536,0.0,2048
65536,0.0,2048
65536,0.0,2048
65536,1.0,2048
73728,1.0,2048
73728,1.0,2048
73728,0.0,2048
73728,0.0,2048
81920,0.0,2048
81920,1.0,2048
81920,0.0,2048
81920,0.0,2048
90112,1.0,2048
90112,0.0,2048
90112,0.0,2048
90112,0.0,2048
98304,0.0,2048
98304,0.0,2048
98304,0.0,2048
98304,1.0,2048
106496,2.0,2048
106496,2.0,2048
106496,2.0,2048
106496,1.0,2048
114688,1.0,2048
114688,3.0,2048
114688,3.0,2048
114688,4.0,2048
122880,2.0,2048
122880,3.0,2048
122880,3.0,2048
122880,2.0,2048
131072,0.0,2048
131072,0.0,2048
131072,0.0,2048
131072,0.0,2048
139264,0.0,2048
139264,0.0,2048
139264,0.0,2048
139264,0.0,2048
147456,0.0,2048
147456,1.0,2048
147456,1.0,2048
147456,1.0,2048
155648,1.0,2048
155648,2.0,2048
155648,1.0,2048
155648,2.0,2048
163840,0.0,2048
163840,0.0,2048
163840,0.0,2048
163840,0.0,2048
172032,2.0,2048
172032,2.0,2048
172032,2.0,2048
172032,2.0,2048
180224,0.0,2048
180224,2.0,2048
180224,1.0,2048
180224,2.0,2048
188416,0.0,2048
188416,0.0,2048
188416,2.0,2048
188416,0.0,2048
196608,1.0,2048
196608,1.0,2048
196608,2.0,2048
196608,2.0,2048
204800,2.0,2048
204800,2.0,2048
204800,2.0,2048
204800,0.0,2048
212992,1.0,2048
212992,1.0,2048
212992,2.0,2048
212992,3.0,2048
221184,1.0,2048
221184,1.0,2048
221184,2.0,2048
221184,2.0,2048
229376,1.0,2048
229376,4.0,2048
229376,3.0,2048
229376,3.0,2048
237568,0.0,2048
237568,0.0,2048
237568,1.0,2048
237568,1.0,2048
245760,2.0,2048
245760,3.0,2048
245760,3.0,2048
245760,2.0,2048
253952,3.0,2048
253952,2.0,2048
253952,3.0,2048
253952,1.0,2048
262144,3.0,2048
262144,3.0,2048
262144,2.0,2048
262144,1.0,2048
270336,0.0,2048
270336,2.0,2048
270336,2.0,2048
270336,1.0,2048
278528,2.0,2048
278528,2.0,2048
278528,2.0,2048
278528,1.0,2048
286720,0.0,2048
286720,1.0,2048
286720,0.0,2048
286720,3.0,2048
294912,1.0,2048
294912,0.0,2048
294912,0.0,2048
294912,1.0,2048
303104,3.0,2048
303104,2.0,2048
303104,2.0,2048
303104,2.0,2048
311296,0.0,2048
311296,0.0,2048
311296,0.0,2048
311296,0.0,2048
319488,0.0,2048
319488,0.0,2048
319488,2.0,2048
319488,0.0,2048
327680,3.0,2048
327680,1.0,2048
327680,0.0,2048
327680,0.0,2048
335872,2.0,2048
335872,2.0,2048
335872,2.0,2048
335872,2.0,2048
344064,1.0,2048
344064,2.0,2048
344064,1.0,2048
344064,1.0,2048
352256,2.0,2048
352256,2.0,2048
352256,3.0,2048
352256,2.0,2048
360448,1.0,2048
360448,2.0,2048
360448,2.0,2048
360448,1.0,2048
368640,1.0,2048
368640,1.0,2048
368640,3.0,2048
368640,0.0,2048
376832,0.0,2048
376832,2.0,2048
376832,2.0,2048
376832,2.0,2048
385024,1.0,2048
385024,0.0,2048
385024,1.0,2048
385024,1.0,2048
393216,3.0,2048
393216,3.0,2048
393216,1.0,2048
393216,2.0,2048
401408,3.0,2048
401408,2.0,2048
401408,2.0,2048
401408,1.0,2048
409600,2.0,2048
409600,1.0,2048
409600,2.0,2048
409600,1.0,2048
417792,2.0,2048
417792,1.0,2048
417792,1.0,2048
417792,1.0,2048
425984,2.0,2048
425984,3.0,2048
425984,1.0,2048
425984,2.0,2048
434176,1.0,2048
434176,4.0,2048
434176,2.0,2048
434176,3.0,2048
442368,3.0,2048
442368,3.0,2048
442368,1.0,2048
442368,4.0,2048
450560,1.0,2048
450560,3.0,2048
450560,2.0,2048
450560,0.0,2048
458752,3.0,2048
458752,3.0,2048
458752,3.0,2048
458752,2.0,2048
466944,1.0,2048
466944,1.0,2048
466944,0.0,2048
466944,1.0,2048
475136,2.0,2048
475136,1.0,2048
475136,2.0,2048
475136,1.0,2048
483328,5.0,2048
483328,4.0,2048
483328,4.0,2048
483328,6.0,2048
491520,4.0,2048
491520,2.0,2048
491520,2.0,2048
491520,1.0,2048
499712,1.0,2048
499712,1.0,2048
499712,2.0,2048
499712,2.0,2048
