timesteps,reward,episode_length
2036,1.0,509
2040,1.0,510
2044,0.0,511
2044,0.0,511
4064,1.0,505
4068,0.0,508
4072,0.0,508
4072,0.0,507
6088,0.0,506
6092,0.0,506
6096,0.0,506
6112,1.0,510
8116,1.0,507
8124,0.0,507
8132,1.0,505
8140,0.0,512
10140,1.0,506
10152,0.0,505
10164,0.0,506
10168,0.0,511
12172,6.0,508
12176,5.0,506
12188,4.0,506
12212,7.0,511
14196,7.0,505
14216,7.0,511
14232,8.0,511
14252,8.0,510
16220,11.0,506
16256,10.0,506
16256,10.0,510
16296,12.0,511
18244,18.0,506
18284,20.0,507
18296,17.0,510
18344,18.0,512
20288,17.0,511
20316,19.0,508
20336,20.0,510
20368,18.0,506
22308,20.0,505
22356,21.0,510
22372,22.0,509
22400,20.0,508
24352,16.0,511
24400,20.0,507
24400,21.0,511
24420,17.0,505
26376,20.0,506
26432,18.0,508
26448,18.0,512
26468,18.0,512
28424,18.0,512
28472,21.0,510
28472,21.0,506
28504,20.0,509
30464,17.0,510
30500,20.0,507
30512,19.0,510
30540,20.0,509
32508,21.0,511
32520,20.0,505
32540,18.0,507
32568,20.0,507
34548,10.0,507
34548,10.0,510
34568,10.0,507
34612,9.0,511
36572,2.0,506
36592,3.0,511
36612,3.0,511
36648,2.0,509
38612,3.0,510
38636,5.0,511
38660,2.0,512
38680,3.0,508
40656,7.0,511
40672,7.0,509
40684,5.0,506
40716,5.0,509
42692,6.0,505
42704,5.0,512
42716,5.0,508
42752,5.0,509
44728,2.0,509
44740,1.0,509
44752,0.0,509
44792,0.0,510
46748,5.0,505
46764,2.0,506
46800,3.0,512
46832,3.0,510
48792,3.0,511
48804,1.0,510
48824,1.0,506
48864,1.0,508
50824,11.0,508
50828,10.0,506
50864,8.0,510
50892,10.0,507
52852,8.0,507
52860,5.0,508
52888,8.0,506
52928,8.0,509
54892,1.0,510
54900,2.0,510
54928,3.0,510
54972,0.0,511
56924,4.0,508
56936,4.0,509
56948,6.0,505
57008,4.0,509
58968,0.0,511
58980,1.0,508
58984,0.0,512
59044,0.0,509
61004,9.0,506
61004,10.0,509
61016,6.0,508
61084,9.0,510
63028,11.0,506
63044,13.0,510
63064,11.0,512
63132,13.0,512
65068,7.0,510
65088,5.0,511
65100,5.0,509
65160,5.0,507
67100,4.0,508
67120,6.0,508
67136,5.0,509
67200,9.0,510
69128,5.0,507
69152,9.0,508
69172,4.0,509
69236,4.0,509
71176,7.0,512
71192,7.0,510
71220,6.0,512
71268,7.0,508
73204,6.0,507
73240,8.0,512
73248,6.0,507
73304,8.0,509
75248,6.0,511
75272,9.0,506
75288,4.0,512
75336,5.0,508
77276,3.0,507
77312,5.0,510
77332,9.0,511
77368,7.0,508
79316,6.0,510
79332,3.0,505
79376,4.0,511
79392,3.0,506
81356,5.0,506
81360,7.0,511
81400,5.0,506
81436,9.0,511
83380,7.0,506
83404,5.0,511
83420,4.0,505
83464,3.0,507
85400,3.0,505
85424,5.0,505
85460,4.0,510
85484,5.0,505
87440,5.0,510
87464,5.0,510
87480,6.0,505
87512,9.0,507
89460,4.0,505
89492,6.0,507
89508,4.0,507
89544,4.0,508
91480,10.0,505
91540,10.0,508
91540,10.0,512
91580,12.0,509
93516,9.0,509
93564,9.0,506
93580,10.0,510
93604,7.0,506
95564,9.0,512
95612,7.0,512
95616,7.0,509
95624,6.0,505
97612,10.0,512
97632,8.0,505
97640,6.0,506
97668,10.0,511
99648,6.0,509
99664,5.0,506
99668,6.0,509
99692,7.0,506
