timesteps,reward,episode_length
2028,0.0,507
2028,0.0,507
2040,1.0,510
2044,0.0,511
4056,0.0,507
4068,0.0,506
4072,0.0,511
4080,0.0,510
6076,1.0,505
6096,0.0,506
6104,0.0,506
6112,0.0,511
8120,1.0,511
8132,0.0,505
8136,0.0,510
8144,0.0,510
10160,0.0,510
10160,0.0,507
10168,0.0,506
10172,0.0,509
12180,8.0,505
12196,8.0,507
12200,7.0,507
12204,7.0,511
14204,15.0,506
14220,13.0,506
14224,15.0,506
14244,11.0,510
16232,18.0,507
16252,19.0,507
16268,19.0,512
16268,17.0,506
18256,20.0,506
18280,22.0,507
18292,19.0,506
18304,20.0,509
20288,24.0,508
20320,18.0,507
20328,22.0,512
20348,21.0,511
22328,23.0,510
22352,17.0,506
22356,20.0,509
22392,19.0,511
24360,21.0,508
24384,21.0,507
24392,21.0,510
24436,20.0,511
26388,17.0,507
26420,18.0,507
26428,23.0,511
26472,22.0,509
28424,15.0,509
28448,16.0,507
28452,16.0,506
28496,18.0,506
30456,6.0,508
30484,5.0,508
30492,5.0,511
30528,5.0,508
32476,4.0,505
32512,5.0,507
32540,5.0,512
32572,5.0,511
34500,7.0,506
34540,7.0,507
34580,5.0,510
34604,5.0,508
36524,1.0,506
36584,3.0,511
36608,5.0,507
36640,3.0,509
38544,2.0,505
38612,2.0,507
38636,2.0,507
38660,4.0,505
40576,8.0,508
40656,4.0,505
40660,5.0,512
40704,4.0,511
42596,4.0,505
42684,5.0,506
42688,5.0,508
42724,3.0,505
44616,4.0,505
44708,4.0,505
44712,4.0,507
44768,7.0,511
46636,3.0,505
46736,6.0,506
46736,7.0,507
46792,2.0,506
48656,3.0,505
48776,4.0,510
48784,4.0,512
48828,2.0,509
50700,9.0,511
50804,6.0,507
50812,8.0,507
50848,6.0,505
52724,5.0,506
52828,5.0,506
52852,7.0,510
52880,6.0,508
54752,7.0,507
54868,6.0,510
54876,8.0,506
54924,8.0,511
56792,6.0,510
56900,8.0,506
56904,7.0,509
56944,6.0,505
58828,2.0,509
58924,5.0,506
58936,2.0,508
58972,3.0,507
60848,10.0,505
60948,7.0,506
60964,9.0,507
61000,9.0,507
62876,8.0,507
62984,9.0,505
62988,12.0,510
63036,8.0,509
64916,7.0,510
65012,11.0,507
65024,9.0,509
65076,9.0,510
66952,10.0,509
67036,11.0,506
67072,8.0,512
67120,10.0,511
69000,10.0,512
69068,10.0,508
69104,10.0,508
69140,9.0,505
71036,7.0,509
71112,11.0,511
71132,9.0,507
71172,9.0,508
73068,7.0,508
73140,6.0,507
73180,10.0,512
73196,10.0,506
75116,9.0,512
75164,8.0,506
75208,9.0,507
75216,6.0,505
77164,9.0,512
77184,9.0,505
77228,8.0,505
77244,7.0,507
79200,5.0,509
79216,6.0,508
79276,6.0,512
79288,9.0,511
81240,11.0,510
81260,11.0,511
81312,11.0,506
81320,12.0,511
83272,10.0,508
83292,10.0,508
83348,13.0,507
83356,10.0,511
85304,10.0,508
85324,11.0,508
85376,9.0,505
85384,12.0,509
87344,7.0,510
87368,10.0,511
87408,9.0,506
87408,11.0,508
89380,9.0,509
89404,9.0,509
89452,9.0,511
89452,13.0,511
91412,10.0,508
91444,9.0,510
91476,7.0,506
91488,10.0,509
93452,11.0,510
93484,9.0,510
93504,10.0,507
93508,9.0,505
95480,11.0,507
95520,11.0,509
95528,11.0,505
95536,6.0,508
97512,11.0,508
97560,8.0,506
97564,10.0,511
97576,12.0,512
99552,8.0,510
99592,8.0,508
99596,5.0,505
99600,8.0,509
